,timestamp,Dry Bulb Temperature,Absolute Humidity,Relative Humidity,lights,plug,Chilled Water Power,Electrical Fan Power,Room Temperature,SDE4 Beehub VAV-L3-02 Airflow,SDE4 Beehub VAV-L3-03 Airflow,occ
96,16/03/2020 8:00,28,21.19,77.7,0.21,0.62,126.83,3.17,27.1,1276.59,1455.31,low
97,16/03/2020 8:05,28.1,21.24,77.6,0.45,0.67,122.34,3.27,27.1,1370.17,1459.98,low
98,16/03/2020 8:10,28.2,21.36,77.6,0.45,0.65,128.3,3.27,27,1343.48,1461.72,low
99,16/03/2020 8:15,28.2,21.44,77.8,0.45,1.02,130.36,3.17,26.9,1336.5,1455.32,low
100,16/03/2020 8:20,28.2,21.45,77.4,0.45,2.37,127.43,3.29,26.9,1343.89,1334.16,low
101,16/03/2020 8:25,28.2,21.31,77,0.45,0.64,128.87,3.29,26.9,1144.12,1136.67,low
102,16/03/2020 8:30,28.4,21.54,77.3,0.45,0.66,123.36,2.92,26.8,723,762.24,low
103,16/03/2020 8:35,28.4,21.37,76.8,0.45,0.69,118.4,2.82,27,621.07,637.69,low
104,16/03/2020 8:40,28.4,21.51,77.3,0.45,0.65,121.47,2.71,27,625.16,627.86,low
105,16/03/2020 8:45,28.5,21.51,77,0.45,0.65,122.88,2.71,27,620.62,627.86,low
106,16/03/2020 8:50,28.4,21.37,77,0.45,0.69,121.85,2.71,26.9,582.01,569.71,low
107,16/03/2020 8:55,28.4,21.48,77.2,0.45,0.71,107.58,2.71,27,623.35,610.96,low
108,16/03/2020 9:00,28.5,21.6,77.1,0.45,0.92,121.26,2.82,27.1,768.18,778.42,low
109,16/03/2020 9:05,28.5,21.57,77.1,0.72,0.66,128.27,2.94,27,899.23,891.32,low
110,16/03/2020 9:10,28.6,21.57,76.5,1.07,0.64,120.83,2.94,26.9,819.85,804.16,low
111,16/03/2020 9:15,28.9,21.57,75.4,1.04,0.63,123.69,2.72,26.9,426.13,422.84,low
112,16/03/2020 9:20,29.4,21.48,73.1,1.05,0.66,125.23,2.72,27.2,678.16,688.09,low
113,16/03/2020 9:25,29.6,21.72,73.2,1.05,0.61,124.66,2.96,27.1,965.7,999.39,low
